Id,Dates,DayOfWeek,PdDistrict,Address,X,Y
50,05/10/2015 19:56,Sunday,SOUTHERN,FOLSOM ST / 6TH ST,-122.405619,37.77850452
51,05/10/2015 19:54,Sunday,RICHMOND,700 Block of 40TH AV,-122.5003804,37.77462065
52,05/10/2015 19:49,Sunday,INGLESIDE,200 Block of NEVADA ST,-122.4114994,37.73900872
53,05/10/2015 19:47,Sunday,NORTHERN,CHURCH ST / MARKET ST,-122.42895,37.76750273
54,05/10/2015 19:47,Sunday,NORTHERN,CHURCH ST / MARKET ST,-122.42895,37.76750273
55,05/10/2015 19:47,Sunday,NORTHERN,CHURCH ST / MARKET ST,-122.42895,37.76750273
56,05/10/2015 19:45,Sunday,SOUTHERN,8TH ST / MISSION ST,-122.4131609,37.77745666
57,05/10/2015 19:35,Sunday,MISSION,1000 Block of SOUTH VAN NESS AV,-122.4167106,37.75634797
58,05/10/2015 19:35,Sunday,MISSION,1000 Block of SOUTH VAN NESS AV,-122.4167106,37.75634797
59,05/10/2015 19:30,Sunday,TARAVAL,2300 Block of 9TH AV,-122.4674726,37.7470552
60,05/10/2015 19:30,Sunday,BAYVIEW,2800 Block of SAN BRUNO AV,-122.4029122,37.72580545
61,05/10/2015 19:30,Sunday,NORTHERN,WASHINGTON ST / GOUGH ST,-122.4261587,37.79263323
62,05/10/2015 19:20,Sunday,INGLESIDE,SAN JOSE AV / SGTJOHNVYOUNG LN,-122.4430669,37.72498717
63,05/10/2015 19:20,Sunday,NORTHERN,VANNESS AV / MCALLISTER ST,-122.4202505,37.78007457
64,05/10/2015 19:16,Sunday,SOUTHERN,800 Block of MARKET ST,-122.406521,37.78506294
65,05/10/2015 19:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
66,05/10/2015 19:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
67,05/10/2015 19:00,Sunday,INGLESIDE,0 Block of LAURA ST,-122.450671,37.71021417
68,05/10/2015 19:00,Sunday,NORTHERN,200 Block of BUCHANAN ST,-122.4271796,37.77228318
69,05/10/2015 19:00,Sunday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
70,05/10/2015 19:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
71,05/10/2015 18:58,Sunday,RICHMOND,GEARY BL / 28TH AV,-122.4879465,37.77994415
72,05/10/2015 18:58,Sunday,RICHMOND,GEARY BL / 28TH AV,-122.4879465,37.77994415
73,05/10/2015 18:58,Sunday,RICHMOND,GEARY BL / 28TH AV,-122.4879465,37.77994415
74,05/10/2015 18:52,Sunday,TENDERLOIN,OFARRELL ST / POWELL ST,-122.4080405,37.7864094
75,05/10/2015 18:45,Sunday,RICHMOND,600 Block of 9TH AV,-122.4672211,37.77613432
76,05/10/2015 18:30,Sunday,BAYVIEW,400 Block of MISSISSIPPI ST,-122.3943429,37.76077136
77,05/10/2015 18:30,Sunday,PARK,1200 Block of PAGE ST,-122.4413937,37.77172731
78,05/10/2015 18:30,Sunday,PARK,1200 Block of PAGE ST,-122.4413937,37.77172731
79,05/10/2015 18:30,Sunday,PARK,2400 Block of GEARY BL,-122.4436429,37.78291837
80,05/10/2015 18:30,Sunday,BAYVIEW,7TH ST / 16TH ST,-122.3950628,37.76654436
81,05/10/2015 18:29,Sunday,MISSION,16TH ST / MISSION ST,-122.4196718,37.76505012
82,05/10/2015 18:15,Sunday,TARAVAL,600 Block of IRVING ST,-122.4647226,37.76416172
83,05/10/2015 18:15,Sunday,TARAVAL,2300 Block of 42ND AV,-122.5004661,37.74287443
84,05/10/2015 18:10,Sunday,RICHMOND,FULTON ST / LA PLAYA ST,-122.509893,37.7713943
85,05/10/2015 18:00,Sunday,RICHMOND,3900 Block of GEARY BL,-122.4616037,37.78101778
86,05/10/2015 18:00,Sunday,RICHMOND,3900 Block of GEARY BL,-122.4616037,37.78101778
87,05/10/2015 18:00,Sunday,BAYVIEW,700 Block of LECONTE AV,-122.3966776,37.71672193
88,05/10/2015 17:52,Sunday,CENTRAL,GREEN ST / BANNAM PL,-122.4077026,37.79966317
89,05/10/2015 17:35,Sunday,NORTHERN,400 Block of VANNESS AV,-122.4202173,37.77915102
90,05/10/2015 17:30,Sunday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
91,05/10/2015 17:30,Sunday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
92,05/10/2015 17:30,Sunday,INGLESIDE,0 Block of DELANO AV,-122.4401598,37.72709432
93,05/10/2015 17:30,Sunday,MISSION,CESAR CHAVEZ ST / POTRERO AV,-122.4050969,37.74911001
94,05/10/2015 17:30,Sunday,MISSION,CESAR CHAVEZ ST / POTRERO AV,-122.4050969,37.74911001
95,05/10/2015 17:30,Sunday,RICHMOND,FUNSTON AV / CABRILLO ST,-122.4713729,37.77502523
96,05/10/2015 17:30,Sunday,NORTHERN,FILLMORE ST / GEARY BL,-122.4329146,37.78435334
97,05/10/2015 17:29,Sunday,BAYVIEW,1300 Block of THOMAS AV,-122.3865942,37.72781834
98,05/10/2015 17:28,Sunday,TARAVAL,1800 Block of IRVING ST,-122.477696,37.76359154
99,05/10/2015 17:17,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
100,05/10/2015 17:15,Sunday,SOUTHERN,800 Block of FOLSOM ST,-122.402246,37.78108882
101,05/10/2015 17:12,Sunday,SOUTHERN,0 Block of NEWMONTGOMERY ST,-122.4017383,37.78853358
102,05/10/2015 17:12,Sunday,SOUTHERN,0 Block of NEWMONTGOMERY ST,-122.4017383,37.78853358
103,05/10/2015 17:10,Sunday,NORTHERN,1800 Block of GEARY BL,-122.4320353,37.78425011
104,05/10/2015 17:10,Sunday,PARK,DIVISADERO ST / GROVE ST,-122.4379902,37.77592487
105,05/10/2015 17:10,Sunday,SOUTHERN,SOUTH VAN NESS AV / MISSION ST,-122.418619,37.77305255
106,05/10/2015 17:00,Sunday,MISSION,20TH ST / GUERRERO ST,-122.4234883,37.75836507
107,05/10/2015 17:00,Sunday,MISSION,FLORIDA ST / 20TH ST,-122.4107618,37.7591352
108,05/10/2015 16:59,Sunday,MISSION,24TH ST / MISSION ST,-122.4184482,37.75223917
109,05/10/2015 16:59,Sunday,MISSION,24TH ST / MISSION ST,-122.4184482,37.75223917
110,05/10/2015 16:59,Sunday,MISSION,24TH ST / MISSION ST,-122.4184482,37.75223917
111,05/10/2015 16:58,Sunday,SOUTHERN,800 Block of MARKET ST,-122.406521,37.78506294
112,05/10/2015 16:55,Sunday,TENDERLOIN,100 Block of POWELL ST,-122.4080145,37.78595078
113,05/10/2015 16:55,Sunday,MISSION,200 Block of 13TH ST,-122.4179492,37.76972086
114,05/10/2015 16:50,Sunday,TARAVAL,200 Block of CLAREMONT BL,-122.4646709,37.74111549
115,05/10/2015 16:45,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
116,05/10/2015 16:42,Sunday,SOUTHERN,2ND ST / KING ST,-122.3895953,37.7798612
117,05/10/2015 16:24,Sunday,TENDERLOIN,500 Block of JONES ST,-122.4129991,37.78627746
118,05/10/2015 16:15,Sunday,CENTRAL,600 Block of JACKSON ST,-122.4060643,37.79615288
119,05/10/2015 16:15,Sunday,CENTRAL,2500 Block of POWELL ST,-122.4124969,37.80815769
120,05/10/2015 16:15,Sunday,SOUTHERN,1700 Block of MARKET ST,-122.422478,37.77275652
121,05/10/2015 16:15,Sunday,BAYVIEW,22ND ST / ILLINOIS ST,-122.3873163,37.75800217
122,05/10/2015 16:15,Sunday,TENDERLOIN,HYDE ST / EDDY ST,-122.4158851,37.78351606
123,05/10/2015 16:15,Sunday,TENDERLOIN,HYDE ST / EDDY ST,-122.4158851,37.78351606
124,05/10/2015 16:15,Sunday,TENDERLOIN,HYDE ST / EDDY ST,-122.4158851,37.78351606
125,05/10/2015 16:07,Sunday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
126,05/10/2015 16:00,Sunday,CENTRAL,1000 Block of BUSH ST,-122.4145549,37.78936834
127,05/10/2015 16:00,Sunday,SOUTHERN,500 Block of STEVENSON ST,-122.4108918,37.78090977
128,05/10/2015 16:00,Sunday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
129,05/10/2015 16:00,Sunday,CENTRAL,0 Block of BEACH ST,-122.4098712,37.80793963
130,05/10/2015 16:00,Sunday,NORTHERN,2400 Block of LOMBARD ST,-122.4418116,37.79900194
131,05/10/2015 15:57,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
132,05/10/2015 15:57,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
133,05/10/2015 15:57,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
134,05/10/2015 15:56,Sunday,TENDERLOIN,500 Block of ELLIS ST,-122.4154142,37.78447666
135,05/10/2015 15:45,Sunday,SOUTHERN,1300 Block of HOWARD ST,-122.4136384,37.77454179
136,05/10/2015 15:30,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
137,05/10/2015 15:22,Sunday,PARK,MIDDLE DR / METSON RD,-122.4929129,37.76614197
138,05/10/2015 15:15,Sunday,SOUTHERN,100 Block of SOUTH VAN NESS AV,-122.4182996,37.77153763
139,05/10/2015 15:15,Sunday,PARK,MIDDLE DR / METSON RD,-122.4929129,37.76614197
140,05/10/2015 15:11,Sunday,SOUTHERN,700 Block of MISSION ST,-122.40307,37.78526863
141,05/10/2015 15:00,Sunday,INGLESIDE,0 Block of MOFFITT ST,-122.4327878,37.73715667
142,05/10/2015 15:00,Sunday,SOUTHERN,0 Block of 1ST ST,-122.3980982,37.79010196
143,05/10/2015 15:00,Sunday,INGLESIDE,ALEMANY BL / OTTAWA AV,-122.4458358,37.7152969
144,05/10/2015 14:59,Sunday,TENDERLOIN,400 Block of TURK ST,-122.4163494,37.78255696
145,05/10/2015 14:49,Sunday,SOUTHERN,8TH ST / MINNA ST,-122.4126203,37.77702593
146,05/10/2015 14:46,Sunday,NORTHERN,ELM ST / VANNESS AV,-122.4205399,37.78149825
147,05/10/2015 14:45,Sunday,BAYVIEW,0 Block of OSCEOLA LN,-122.3831875,37.7316758
148,05/10/2015 14:30,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
149,05/10/2015 14:30,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
150,05/10/2015 14:30,Sunday,BAYVIEW,300 Block of GIRARD ST,-122.4049033,37.72794563
151,05/10/2015 14:15,Sunday,RICHMOND,500 Block of 18TH AV,-122.476962,37.77755988
152,05/10/2015 14:07,Sunday,MISSION,900 Block of VALENCIA ST,-122.4213018,37.75809572
153,05/10/2015 14:00,Sunday,NORTHERN,1100 Block of GEARY BL,-122.4222154,37.78552781
154,05/10/2015 14:00,Sunday,INGLESIDE,100 Block of MADRID ST,-122.4286497,37.72702086
155,05/10/2015 14:00,Sunday,INGLESIDE,400 Block of CONGO ST,-122.4419611,37.73273686
156,05/10/2015 14:00,Sunday,NORTHERN,STEINER ST / POST ST,-122.4347332,37.78494432
157,05/10/2015 14:00,Sunday,PARK,CASTRO ST / STATES ST,-122.4352603,37.76346295
158,05/10/2015 14:00,Sunday,CENTRAL,TAYLOR ST / BAY ST,-122.4152454,37.80541652
159,05/10/2015 14:00,Sunday,TARAVAL,SANTIAGO ST / 16TH AV,-122.470366,37.74515795
160,05/10/2015 13:45,Sunday,RICHMOND,1100 Block of 9TH AV,-122.4665044,37.76620143
161,05/10/2015 13:45,Sunday,CENTRAL,GEARY ST / MASON ST,-122.4098766,37.78714881
162,05/10/2015 13:30,Sunday,NORTHERN,100 Block of LARKIN ST,-122.4166077,37.77913875
163,05/10/2015 13:30,Sunday,SOUTHERN,800 Block of MISSION ST,-122.4053955,37.78351007
164,05/10/2015 13:30,Sunday,SOUTHERN,1200 Block of HOWARD ST,-122.4123497,37.77555585
165,05/10/2015 13:30,Sunday,CENTRAL,1900 Block of POWELL ST,-122.411229,37.80258484
166,05/10/2015 13:30,Sunday,NORTHERN,OAK ST / STEINER ST,-122.4324693,37.77375752
167,05/10/2015 13:27,Sunday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
168,05/10/2015 13:15,Sunday,CENTRAL,100 Block of LOMBARD ST,-122.4041728,37.8038752
169,05/10/2015 13:05,Sunday,CENTRAL,1300 Block of PINE ST,-122.4180281,37.78988129
170,05/10/2015 13:05,Sunday,CENTRAL,1300 Block of PINE ST,-122.4180281,37.78988129
171,05/10/2015 13:03,Sunday,RICHMOND,200 Block of 16TH AV,-122.4752328,37.78337366
172,05/10/2015 13:02,Sunday,NORTHERN,CALIFORNIA ST / GOUGH ST,-122.4256183,37.78995008
173,05/10/2015 13:00,Sunday,MISSION,1300 Block of UTAH ST,-122.4053372,37.75240894
174,05/10/2015 13:00,Sunday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
175,05/10/2015 13:00,Sunday,SOUTHERN,7TH ST / MINNA ST,-122.4104056,37.77878415
176,05/10/2015 12:59,Sunday,MISSION,300 Block of VALENCIA ST,-122.4220201,37.76701047
177,05/10/2015 12:50,Sunday,INGLESIDE,900 Block of PARIS ST,-122.4396163,37.7153102
178,05/10/2015 12:49,Sunday,SOUTHERN,1600 Block of MARKET ST,-122.4216195,37.77343394
179,05/10/2015 12:44,Sunday,SOUTHERN,300 Block of 2ND ST,-122.3962514,37.78525829
180,05/10/2015 12:43,Sunday,TARAVAL,1800 Block of 48TH AV,-122.5075488,37.75191545
181,05/10/2015 12:40,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
182,05/10/2015 12:33,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
183,05/10/2015 12:25,Sunday,NORTHERN,1600 Block of POLK ST,-122.4208964,37.79195678
184,05/10/2015 12:21,Sunday,INGLESIDE,100 Block of RIDGEWOOD AV,-122.4533408,37.73110972
185,05/10/2015 12:09,Sunday,CENTRAL,600 Block of POST ST,-122.4120324,37.78788549
186,05/10/2015 12:09,Sunday,CENTRAL,600 Block of POST ST,-122.4120324,37.78788549
187,05/10/2015 12:00,Sunday,CENTRAL,0 Block of CLAY ST,-122.3961706,37.79548699
188,05/10/2015 12:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
189,05/10/2015 12:00,Sunday,CENTRAL,2800 Block of TAYLOR ST,-122.4159234,37.80859051
190,05/10/2015 12:00,Sunday,SOUTHERN,900 Block of FOLSOM ST,-122.4039794,37.77987474
191,05/10/2015 12:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
192,05/10/2015 12:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
193,05/10/2015 12:00,Sunday,RICHMOND,43RD AV / FULTON ST,-122.5034712,37.77168767
194,05/10/2015 12:00,Sunday,RICHMOND,43RD AV / FULTON ST,-122.5034712,37.77168767
195,05/10/2015 12:00,Sunday,CENTRAL,BAY ST / KEARNY ST,-122.4071493,37.80642673
196,05/10/2015 11:53,Sunday,CENTRAL,600 Block of JACKSON ST,-122.4060643,37.79615288
197,05/10/2015 11:50,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
198,05/10/2015 11:45,Sunday,SOUTHERN,THE EMBARCADEROSOUTH ST / BRYANT ST,-122.3880074,37.78710272
199,05/10/2015 11:35,Sunday,SOUTHERN,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441
200,05/10/2015 11:30,Sunday,INGLESIDE,GENEVA AV / NAPLES ST,-122.4361771,37.71420894
201,05/10/2015 11:15,Sunday,BAYVIEW,100 Block of GIRARD ST,-122.4057671,37.7303818
202,05/10/2015 11:15,Sunday,BAYVIEW,100 Block of GIRARD ST,-122.4057671,37.7303818
203,05/10/2015 11:15,Sunday,NORTHERN,100 Block of WEBSTER ST,-122.4285977,37.77164958
204,05/10/2015 11:11,Sunday,TARAVAL,100 Block of STONECREST DR,-122.4739993,37.72805714
205,05/10/2015 11:07,Sunday,NORTHERN,VANNESS AV / OFARRELL ST,-122.4211952,37.78475366
206,05/10/2015 11:00,Sunday,MISSION,1100 Block of POTRERO AV,-122.4063243,37.75363225
207,05/10/2015 11:00,Sunday,TENDERLOIN,0 Block of OFARRELL ST,-122.4058954,37.78673422
208,05/10/2015 10:58,Sunday,RICHMOND,4900 Block of ANZA ST,-122.5012108,37.77746448
209,05/10/2015 10:55,Sunday,TARAVAL,1700 Block of 17TH AV,-122.474467,37.75524726
210,05/10/2015 10:45,Sunday,PARK,FELL ST / PIERCE ST,-122.4342944,37.77447475
211,05/10/2015 10:45,Sunday,TENDERLOIN,LARKIN ST / GROVE ST,-122.4165835,37.77865915
212,05/10/2015 10:40,Sunday,BAYVIEW,2000 Block of JENNINGS ST,-122.3884529,37.72738135
213,05/10/2015 10:30,Sunday,MISSION,MISSION ST / 16TH ST,-122.4196718,37.76505012
214,05/10/2015 10:25,Sunday,CENTRAL,300 Block of BATTERY ST,-122.400216,37.79480303
215,05/10/2015 10:15,Sunday,CENTRAL,1600 Block of THE EMBARCADERONORTH ST,-122.4107742,37.80843502
216,05/10/2015 10:00,Sunday,PARK,800 Block of MASONIC AV,-122.4460636,37.7734477
217,05/10/2015 10:00,Sunday,TENDERLOIN,400 Block of EDDY ST,-122.4150669,37.78356348
218,05/10/2015 10:00,Sunday,CENTRAL,900 Block of STOCKTON ST,-122.4079245,37.79451753
219,05/10/2015 10:00,Sunday,NORTHERN,VANNESS AV / GOLDEN GATE AV,-122.4204395,37.78103085
220,05/10/2015 9:55,Sunday,TENDERLOIN,FULTON ST / LARKIN ST,-122.41677,37.77958458
221,05/10/2015 9:47,Sunday,PARK,HAIGHT ST / BUENAVISTAWEST AV,-122.4433119,37.77046975
222,05/10/2015 9:45,Sunday,CENTRAL,1100 Block of CALIFORNIA ST,-122.4132889,37.79146553
223,05/10/2015 9:45,Sunday,CENTRAL,1100 Block of CALIFORNIA ST,-122.4132889,37.79146553
224,05/10/2015 9:45,Sunday,CENTRAL,1100 Block of CALIFORNIA ST,-122.4132889,37.79146553
225,05/10/2015 9:45,Sunday,CENTRAL,1100 Block of CALIFORNIA ST,-122.4132889,37.79146553
226,05/10/2015 9:45,Sunday,MISSION,VALENCIA ST / 19TH ST,-122.4214261,37.7601018
227,05/10/2015 9:44,Sunday,TARAVAL,2000 Block of IRVING ST,-122.4798158,37.76349824
228,05/10/2015 9:24,Sunday,INGLESIDE,4100 Block of MISSION ST,-122.4296149,37.7302697
229,05/10/2015 9:24,Sunday,INGLESIDE,4100 Block of MISSION ST,-122.4296149,37.7302697
230,05/10/2015 9:24,Sunday,INGLESIDE,4100 Block of MISSION ST,-122.4296149,37.7302697
231,05/10/2015 9:24,Sunday,INGLESIDE,4100 Block of MISSION ST,-122.4296149,37.7302697
232,05/10/2015 9:00,Sunday,SOUTHERN,0 Block of 5TH ST,-122.4066986,37.78298351
233,05/10/2015 9:00,Sunday,MISSION,100 Block of DOLORES ST,-122.4267324,37.76666294
234,05/10/2015 9:00,Sunday,MISSION,100 Block of DOLORES ST,-122.4267324,37.76666294
235,05/10/2015 8:50,Sunday,TENDERLOIN,LEAVENWORTH ST / ELLIS ST,-122.4144332,37.78465763
236,05/10/2015 8:50,Sunday,TENDERLOIN,LEAVENWORTH ST / ELLIS ST,-122.4144332,37.78465763
237,05/10/2015 8:40,Sunday,TENDERLOIN,0 Block of GROVE ST,-122.4156537,37.77871965
238,05/10/2015 8:40,Sunday,TENDERLOIN,0 Block of GROVE ST,-122.4156537,37.77871965
239,05/10/2015 8:30,Sunday,NORTHERN,1600 Block of SUTTER ST,-122.4275063,37.78676239
240,05/10/2015 8:10,Sunday,CENTRAL,POST ST / LEAVENWORTH ST,-122.4149967,37.78745307
241,05/10/2015 8:09,Sunday,MISSION,2200 Block of MISSION ST,-122.4192122,37.76102442
242,05/10/2015 8:09,Sunday,MISSION,2200 Block of MISSION ST,-122.4192122,37.76102442
243,05/10/2015 8:09,Sunday,MISSION,2200 Block of MISSION ST,-122.4192122,37.76102442
244,05/10/2015 8:00,Sunday,TARAVAL,4000 Block of MORAGA ST,-122.5060841,37.75486183
245,05/10/2015 8:00,Sunday,SOUTHERN,700 Block of NATOMA ST,-122.4129044,37.77599818
246,05/10/2015 8:00,Sunday,CENTRAL,700 Block of BATTERY ST,-122.4010274,37.79811723
247,05/10/2015 8:00,Sunday,CENTRAL,1600 Block of TAYLOR ST,-122.413689,37.7973382
248,05/10/2015 8:00,Sunday,CENTRAL,GRANT AV / NORTHPOINT ST,-122.4088993,37.80716206
249,05/10/2015 7:30,Sunday,SOUTHERN,200 Block of RITCH ST,-122.3956456,37.78022759
250,05/10/2015 7:11,Sunday,NORTHERN,1400 Block of BUSH ST,-122.4211325,37.78853811
251,05/10/2015 7:11,Sunday,NORTHERN,1400 Block of BUSH ST,-122.4211325,37.78853811
252,05/10/2015 7:02,Sunday,MISSION,MISSION ST / 16TH ST,-122.4196718,37.76505012
253,05/10/2015 6:45,Sunday,CENTRAL,900 Block of HYDE ST,-122.4170443,37.78959528
254,05/10/2015 6:00,Sunday,INGLESIDE,100 Block of THERESA ST,-122.4348598,37.72903052
255,05/10/2015 5:22,Sunday,CENTRAL,2600 Block of TAYLOR ST,-122.4155942,37.80681006
256,05/10/2015 5:22,Sunday,CENTRAL,2600 Block of TAYLOR ST,-122.4155942,37.80681006
257,05/10/2015 5:22,Sunday,CENTRAL,2600 Block of TAYLOR ST,-122.4155942,37.80681006
258,05/10/2015 5:22,Sunday,CENTRAL,2600 Block of TAYLOR ST,-122.4155942,37.80681006
259,05/10/2015 5:15,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
260,05/10/2015 5:00,Sunday,NORTHERN,700 Block of POLK ST,-122.4193872,37.78378998
261,05/10/2015 4:58,Sunday,SOUTHERN,6TH ST / MISSION ST,-122.4087106,37.78097067
262,05/10/2015 4:58,Sunday,SOUTHERN,6TH ST / MISSION ST,-122.4087106,37.78097067
263,05/10/2015 4:58,Sunday,SOUTHERN,6TH ST / MISSION ST,-122.4087106,37.78097067
264,05/10/2015 4:58,Sunday,SOUTHERN,6TH ST / MISSION ST,-122.4087106,37.78097067
265,05/10/2015 4:47,Sunday,MISSION,19TH ST / SOUTH VAN NESS AV,-122.4170284,37.76036569
